state,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NC,6717728.97,7129633.14,6943748.84,6600785.11,6735801.22,6515751.81,6311112.23,6341549.69,3389539.45,880391.57,935057.28,982104.25
ND,NA,NA,NA,NA,NA,133.11,1363.95,1891.37,771.99,1480.51,241.84,36.88
NE,1792.16,2575.65,4950.25,5885.5,6780.45,2073.18,12738.17,10792.33,13944.91,13914.72,13114.23,13354.17
NH,2786576.49,2817627.46,2885016.06,2734941.12,2927305.84,2854790.85,2745595.26,2856383.87,2837839.95,2746031.96,2579021.31,2276766.48
NJ,6600357.44,6522536.49,6920666.14,5908969.19,4572952.86,4264380.69,4316395.59,3221454.37,2660433.24,2439250.35,2770939.78,2507478.59
NM,4447.6,6387.49,9364.7,14169.83,17164.28,18327.17,26140.3,30487.22,29126.65,38350.28,48212.94,55513.97
NV,234.05,700.47,939.85,1790.02,3647.33,4561.27,6322.08,6091,6477.36,8418.87,12241.81,17351.27
NY,6997372.81,6307846.95,6376824.8,5779655.18,6832275.59,7166945.25,6749799.4,7218516.11,7555530.53,7507875.58,7428652.03,7720584.9
OH,18015059.22,17920640.25,18272288.93,18312552.08,17318045.77,16646929.63,17044931.31,18060472.31,18130886.35,17733218.04,16201555.3,16176334.47
OK,1186.99,2284.47,2937.63,3593.6,3706.66,3141.24,5620.53,6990.95,8597.36,8032.06,183.59,589.29
OR,524814.27,581456.86,659065.27,772698.31,848065.57,937521.77,1036589.35,1089613.2,1124515.37,1019538.32,990592.29,970083.59
PA,2238872.56,2262763.16,2685440.45,3128166.8,3411033.49,4005887.4,4246712.36,4140992.46,3853670.66,3637399.93,4126266.57,5175879.25
RI,78,76,1613,1692,2021.32,4181.58,4949.18,5592.76,6646.02,16985.26,32268.25,42190.46
SC,3475.55,4733.84,6346.93,10771.16,12903.66,17725.52,21211.65,24319.79,20753.29,20894.82,19482.87,17600.06
SD,NA,NA,97.6,424.14,619.7,785.06,823.65,1028.03,935.83,1132.85,877.45,935.45
TN,292.08,98.75,112.1,1051.89,380277,560336.92,696681.85,1073651.26,1116453.27,1307141.77,1750984.8,2641268.05
TX,18671765.96,19020183.48,18985409.81,18934858.19,17941441.31,18373013.26,18841742.38,18151237.17,18582286.52,18110667.95,16987670.45,16934638.35
UT,22701.49,22586.94,28681.77,40477.43,62120.44,80300.79,101610.11,117512.5,124719.01,126456.78,110817.78,91927.41
VA,14083265,13471382.64,12809681.79,12531661.75,13408374.35,12891463.92,12259344.53,11190928.41,11211279.68,12678626.95,12333484.1,12829543.99
VT,219875.42,217101.35,248184.49,289840.71,273965.87,271560.29,258101.46,264417.4,220195.37,208884.06,187172.15,178160.04
WA,130485.73,126287.74,128996.61,121471.16,116944.26,125917.12,140925.38,163346.76,139649.07,142440.45,174684.94,188786.24
WI,7202790.46,9095536.35,10240080.7,9002320.57,8884190.43,9038409.69,9100215.78,9090297.72,9142816.33,9189949.38,9225292.71,8353029.28
WV,1277.63,734,569.55,120.33,23.18,87.86,43.45,60.86,40.86,15.6,20.73,14.16
WY,1666.38,1851.16,1649.54,1916.37,2580.15,2755.25,2447.42,3409.94,6946.93,7393.61,11129.22,14611.11
total,166930011.93,165432246.88,162972112.66,159708194.46,161692656.22,159413578.77,158542512.22,157014623.95,155415745.23,151507541.28,148100648.51,148590625.56
