state,shipments,rank_3,population,consumption,rank_6,year
Colorado,3791717,19,4057993,29,21,2016
Connecticut,1830490,32,2678366,21.2,48,2016
Delaware,694311,45,711443,30.3,16,2016
District of Columbia,447938,50,531714,26.1,33,2016
Florida,13672863,3,15786849,26.8,30,2016
Georgia,5980000,10,7385015,25.1,40,2016
Hawaii,1057000,41,1074154,30.5,15,2016
Idaho,1015586,42,1176291,26.8,31,2016
Illinois,8581524,5,9406398,28.3,25,2016
Indiana,3673585,22,4779863,23.8,45,2016
Iowa,2389414,28,2261793,32.7,10,2016
Kansas,1767265,33,2068349,26.5,32,2016
Kentucky,2565940,27,3252284,24.5,42,2016
Louisiana,3308995,24,3397315,30.2,17,2016
Maine,1119365,40,1026817,33.8,7,2016
Maryland,2970065,26,4446614,20.7,50,2016
Massachusetts,3996996,18,5137654,24.1,43,2016
Michigan,6084421,9,7337594,25.7,35,2016
Minnesota,3730427,21,4022083,28.8,22,2016
Mississippi,2227664,31,2141109,32.3,12,2016
Missouri,4129314,16,4467244,28.7,23,2016
Montana,1001477,43,771932,40.2,2,2016
Nebraska,1484911,35,1352839,34,6,2016
Nevada,2327490,30,2164709,33.3,8,2016
New Hampshire,1366533,37,1017982,41.6,1,2016
New Jersey,4543072,13,6664449,21.1,49,2016
New Mexico,1415606,36,1509778,29.1,20,2016
New York,10744482,4,14878557,22.4,47,2016
North Carolina,6174013,8,7453023,25.7,36,2016
North Dakota,683988,46,546177,38.8,3,2016
Ohio,7818652,7,8552352,28.3,24,2016
Oklahoma,2338944,29,2803100,25.9,34,2016
Oregon,3036273,25,3068900,30.7,14,2016
Pennsylvania,8363058,6,9596302,27,29,2016
Rhode Island,603228,47,796410,23.5,46,2016
South Carolina,3738000,20,3664378,31.6,13,2016
South Dakota,768000,44,613343,38.8,4,2016
Tennessee,4040895,17,4900043,25.6,37,2016
Texas,20364994,2,19453135,32.5,11,2016
Utah,1192944,39,1991583,18.6,51,2016
Vermont,508786,48,473755,33.3,9,2016
Virginia,5047799,11,6211285,25.2,39,2016
Washington,4259350,15,5392371,24.5,41,2016
West Virginia,1257885,38,1387694,28.1,26,2016
Wisconsin,4815400,12,4250116,35.1,5,2016
Wyoming,403173,51,424326,29.5,19,2016
Alabama,3347872,23,3588955,28.9,19,2017
Alaska,451002,49,527556,26.5,28,2017
Arizona,4372726,14,5101226,26.6,27,2017
Arkansas,1674552,34,2179652,23.8,42,2017
California,23545248,1,28925620,25.2,34,2017
Colorado,3792964,19,4130912,28.5,22,2017
Connecticut,1767512,32,2687293,20.4,49,2017
Delaware,687425,45,720323,29.6,16,2017
District of Columbia,438529,50,537414,25.3,33,2017
Florida,13659100,3,16070678,26.3,30,2017
Georgia,5793000,10,7489947,24,41,2017
Hawaii,1031000,41,1074834,29.7,15,2017
Idaho,1017610,42,1205824,26.2,31,2017
Illinois,8362464,5,9409791,27.5,25,2017
Indiana,3628904,22,4813466,23.4,45,2017
Iowa,2322892,29,2274867,31.7,11,2017
Kansas,1752055,33,2076134,26.2,32,2017
Kentucky,2488162,27,3269739,23.6,43,2017
Louisiana,3208209,24,3401533,29.2,18,2017
Maine,1127000,40,1034311,33.8,6,2017
Maryland,2907166,26,4475365,20.1,50,2017
Massachusetts,3932557,17,5180401,23.5,44,2017
Michigan,5992721,9,7381860,25.2,35,2017
Minnesota,3739397,20,4065475,28.5,21,2017
Mississippi,2147000,31,2146916,31,12,2017
Missouri,4050306,16,4493326,27.9,23,2017
Montana,1014502,43,782254,40.2,2,2017
Nebraska,1463964,35,1363163,33.3,7,2017
Nevada,2352772,28,2214535,32.9,8,2017
New Hampshire,1349000,37,1028396,40.7,1,2017
New Jersey,4442360,13,6701668,20.5,48,2017
New Mexico,1408223,36,1516919,28.8,20,2017
New York,10563995,4,14926865,21.9,47,2017
North Carolina,6065168,8,7558491,24.9,37,2017
North Dakota,676015,46,545859,38.4,3,2017
Ohio,7679223,7,8594318,27.7,24,2017
Oklahoma,2281826,30,2812703,25.1,36,2017
Oregon,3078199,25,3120609,30.6,14,2017
Pennsylvania,8195585,6,9627662,26.4,29,2017
Rhode Island,594752,47,800107,23,46,2017
South Carolina,3711000,21,3720555,30.9,13,2017
South Dakota,764000,44,619532,38.2,4,2017
Tennessee,3907906,18,4959180,24.4,38,2017
Texas,20202011,2,19777160,31.7,10,2017
Utah,1229063,38,2037778,18.7,51,2017
Vermont,503551,48,475532,32.8,9,2017
Virginia,4924476,11,6265330,24.4,39,2017
Washington,4257552,15,5498350,24,40,2017
West Virginia,1218208,39,1380139,27.4,26,2017
Wisconsin,4745062,12,4277542,34.4,5,2017
Wyoming,397540,51,421156,29.3,17,2017
Alabama,3351628,23,3606639,28.8,17,2018
Alaska,458445,49,526639,27,26,2018
Arizona,4428543,13,5238099,26.2,28,2018
Arkansas,1647806,34,2191256,23.3,43,2018
California,23324216,1,29023186,24.9,34,2018
Colorado,3847393,18,4210663,28.3,19,2018
Connecticut,1739101,32,2681657,20.1,49,2018
Delaware,658473,46,726161,28.1,22,2018
District of Columbia,413405,50,543066,23.6,41,2018
Florida,13468065,3,16343540,25.5,31,2018
Georgia,5738000,10,7577687,23.5,42,2018
Hawaii,1027000,43,1070283,29.7,16,2018
Idaho,1032047,42,1237555,25.9,30,2018
Illinois,8205883,5,9391158,27.1,25,2018
Indiana,3781080,20,4842337,24.2,39,2018
Iowa,2299000,29,2286374,31.2,10,2018
Kansas,1698348,33,2080227,25.3,33,2018
Kentucky,2409386,27,3284417,22.7,44,2018
Louisiana,3091352,24,3389668,28.3,20,2018
Maine,1130000,40,1040553,33.7,6,2018
Maryland,2809628,26,4473319,19.5,50,2018
Massachusetts,3829608,19,5223695,22.7,45,2018
Michigan,5883000,9,7428727,24.5,35,2018
Minnesota,3763248,21,4096345,28.5,18,2018
Mississippi,2108000,31,2153795,30.3,12,2018
Missouri,3947762,16,4511800,27.1,24,2018
Montana,1060650,41,793151,41.5,1,2018
Nebraska,1431041,35,1370984,32.4,9,2018
Nevada,2365683,28,2246259,32.6,8,2018
New Hampshire,1331518,37,1042882,39.6,2,2018
New Jersey,4342675,14,6634683,20.3,48,2018
New Mexico,1393793,36,1529540,28.2,21,2018
New York,10308860,4,14724807,21.7,47,2018
North Carolina,6253105,8,7655465,25.3,32,2018
North Dakota,667016,45,548159,37.7,4,2018
Ohio,7478827,7,8635039,26.8,27,2018
Oklahoma,2231987,30,2825905,24.5,36,2018
Oregon,3079919,25,3167912,30.1,14,2018
Pennsylvania,8084254,6,9645705,26,29,2018
Rhode Island,586033,47,800838,22.7,46,2018
South Carolina,3665000,22,3775169,30.1,15,2018
South Dakota,766000,44,628778,37.8,3,2018
Tennessee,3926210,17,5011030,24.3,37,2018
Texas,19990345,2,20117015,30.8,11,2018
Utah,1212952,39,2086759,18,51,2018
Vermont,516794,48,478451,33.5,7,2018
Virginia,4929073,11,6307643,24.2,38,2018
Washington,4282753,15,5606920,23.7,40,2018
West Virginia,1224076,38,1375788,27.6,23,2018
Wisconsin,4747024,12,4302174,34.2,5,2018
Wyoming,411844,51,421045,30.3,13,2018
Alabama,3393539,23,3626074,29,17,2019
Alaska,467914,49,526389,27.6,22,2019
Arizona,4436161,13,5381639,25.6,30,2019
Arkansas,1647862,34,2202659,23.2,42,2019
California,23278727,1,29082257,24.8,33,2019
Colorado,3960758,17,4282120,28.7,18,2019
Connecticut,1716291,33,2672685,19.9,49,2019
Delaware,660433,46,731708,28,20,2019
District of Columbia,408754,51,546838,23.2,43,2019
Florida,13427321,3,16581422,25.1,32,2019
Georgia,5755000,10,7669685,23.3,41,2019
Hawaii,1014000,42,1065048,29.5,13,2019
Idaho,1005175,43,1272252,24.5,34,2019
Illinois,8087164,6,9375663,26.7,26,2019
Indiana,3771890,20,4870724,24,38,2019
Iowa,2267498,29,2297461,30.6,11,2019
Kansas,1721643,32,2083833,25.6,29,2019
Kentucky,2447446,27,3297382,23,44,2019
Louisiana,3083219,24,3377803,28.3,19,2019
Maine,1119000,40,1047367,33.1,7,2019
Maryland,2783772,26,4469710,19.3,50,2019
Massachusetts,3897556,19,5257263,23,45,2019
Michigan,5768000,9,7469566,23.9,39,2019
Minnesota,3715585,21,4122388,27.9,21,2019
Mississippi,2051000,31,2162515,29.4,16,2019
Missouri,3917061,18,4530939,26.8,25,2019
Montana,1031574,41,804070,39.8,1,2019
Nebraska,1423643,35,1378192,32,9,2019
Nevada,2377677,28,2274150,32.4,8,2019
New Hampshire,1324092,37,1058664,38.8,2,2019
New Jersey,4426727,14,6564487,20.9,48,2019
New Mexico,1367117,36,1544478,27.4,23,2019
New York,10278340,4,14510596,22,47,2019
North Carolina,6298679,8,7747627,25.2,31,2019
North Dakota,666187,45,551070,37.5,3,2019
Ohio,7393000,7,8672924,26.4,27,2019
Oklahoma,2233943,30,2844758,24.3,35,2019
Oregon,3058409,25,3213717,29.5,14,2019
Pennsylvania,8121662,5,9654554,26.1,28,2019
Rhode Island,571840,47,800399,22.1,46,2019
South Carolina,3636000,22,3831224,29.4,15,2019
South Dakota,751000,44,638186,36.5,4,2019
Tennessee,3968052,16,5059062,24.3,36,2019
Texas,20493483,2,20483251,31,10,2019
Utah,1270444,38,2136155,18.4,51,2019
Vermont,515571,48,481075,33.2,6,2019
Virginia,4955675,11,6347506,24.2,37,2019
Washington,4301482,15,5709292,23.4,40,2019
West Virginia,1191657,39,1371798,26.9,24,2019
Wisconsin,4698696,12,4325248,33.7,5,2019
Wyoming,416043,50,422747,30.5,12,2019
